SMILES,P(Act),Unnamed: 2
CCCCCCOc1nccnc1OC1CN2CCC1C2,7.804100348,
C=CC[N+]1(Cc2cccc(O)c2)CCC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)Nc2ccc(C(=O)OC(C)C)cc2)C1,7.799970733,
Cc1ccnc(C2(C#N)CCN(Cc3cc4c(c5ccccc35)CN([C@H]3CCCC[C@@H]3O)C4=O)CC2)c1,7.795880017,
CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1)C2,7.749579998,
CN(C)C1(CNCCC2CCCCC2)COc2ccccc2OC1,7.744727495,
CN(C)CCNCC(=O)C(O)(c1ccccc1)C1CCCCC1,7.744727495,
CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)N(Cc1ccccc1)c1ccsc1)C2,7.718966633,
CCC(=O)NC1CCN(CCCN2C(=O)CCc3ccc(F)cc32)CC1,7.698970004,
O=C1CCc2cccnc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,7.698970004,
Fc1cc(F)cc(C#CCOc2nsnc2C23CN4CC2C3C4)c1,7.694648631,
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCc1ccc(F)cc1,7.679853714,
NCC(=O)N1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,7.677780705,
Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cn2)c1,7.677780705,
CCCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1,7.657577319,
C[N+]1(C)CCCC1c1ccc(C(O)(c2ccccc2)c2ccccc2)o1,7.630042393,
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccccc43)CC2)CC1,7.599980365,
O=C(NCC1CCNCC1)c1c(-c2cccc(Cl)c2)ccc(Cl)c1F,7.599980365,
O=C(NCC1CCNCC1)c1ccccc1-c1ccc(F)c(Cl)c1,7.599980365,
Cn1cc(-c2ccc(Cn3nc(C(=O)N[C@H]4CCCC[C@@H]4O)c4ncccc43)c(F)c2)cn1,7.596879479,
CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,7.585026652,
Cc1cccc(C2(C#N)CCN(Cc3cc4c(c5ccccc35)CN([C@H]3CCCC[C@@H]3O)C4=O)CC2)n1,7.568636236,
C(#Cc1ccccc1)COc1nsnc1[C@@H]1CN2CCC[C@H]1C2,7.548213564,
Cn1cc(-c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c4ncccc43)c(F)c2)cn1,7.54515514,
C/C(C#Cc1ccc(Cl)cc1)=C/CO/N=C1/CN2CCC1C2,7.536107011,
CCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1,7.527975302,
C#C/C(C)=C\CO/N=C1/CN2CCC1C2,7.522878745,
CN1CCC=C(C2=NOC(N3CCCC3=O)C2)C1,7.508638306,
N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c(=O)n3ccccc23)CC1,7.508638306,
CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(Br)cc2)C(=O)N[C@H]2CC[N+](C)(Cc3ccc4c(c3)OCO4)C2)cc1,7.500038134,
O=C(NCC1CCNCC1)c1c(F)cccc1-c1cc(Cl)ccc1Cl,7.500038134,
CN1CCN(C(=O)[C@H](Cc2ccccc2)c2ccccc2)CC1,7.48148606,
CCCCN(C(=O)O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)c1ccccc1,7.477555766,
CCN(CC)c1ccc(/C=C/c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1,7.468521083,
O=C(N[C@H]1CN2CCC1CC2)C(c1cccs1)c1cccs1,7.458420756,
CCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1,7.455931956,
CC[N+](CC)(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,7.448245127,
O=C(CCNC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NCCC(=O)NC[C@H]1CCCN(CC2CCCCC2)C1,7.443697499,
C1=C(c2csc3ccccc23)C2CCN1CC2,7.431798276,
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN3CCCC4CCCCC43)[C@@H]12,7.420216403,
COc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1ccccc1N2,7.408935393,
O=C(O)c1cn(Cc2ccc(-n3cnc(-c4ccccc4)c3)cc2)c2cccc(F)c2c1=O,7.408935393,
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,7.407490152,
CC[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,7.400007822,
CN1CCCC(c2nc3ccccc3n2CCOc2ccccc2)C1,7.397940009,
CN1CCN(C(=O)C(Cc2ccccc2)c2ccccc2)CC1,7.358278075,
CN(C)c1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)ccn1,7.346787486,
Fc1cc(Cl)cc(C#CCSc2nsnc2C23CN4CC2C3C4)c1,7.337242168,
CN1CCC[C@@H]1[C@@H]1C[S+]([O-])[C@](c2ccccc2)(C2CCCCC2)O1,7.329939783,
CN(C)CCC=C1c2ccccc2COc2ccccc21,7.32330639,
C[N+]1(C)CCC[C@@H]1c1ccc([C@@](O)(c2ccccc2)C2CCCCC2)o1,7.320027306,
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CCc3cc(F)ccc32)CC1,7.30980392,
c1ccc2c(c1)C(=C1CN3CCC1CC3)c1ccccc1-2,7.301029996,
O=C(NCC1CCNCC1)c1cc(F)ccc1-c1cccc(Cl)c1,7.299988938,
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CCc3ccc(F)cc32)CC1,7.292429824,
CN(C)C1(CNCCC2CCSCC2)COc2ccccc2OC1,7.283996656,
CN(C)CCC1=C(C(C)(C)c2ccccn2)c2ccccc2C1,7.280006174,
NCC1CCC(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,7.259637311,
O=C(O)c1cn(Cc2ccc(-c3cn[nH]c3)cc2F)c2ccccc2c1=O,7.251811973,
